时间,类别,臺東縣
2013年12月,戶量(人/戶),2.75
2014年1月,戶量(人/戶),2.75
2014年2月,戶量(人/戶),2.75
2014年3月,戶量(人/戶),2.75
2014年4月,戶量(人/戶),2.75
2014年5月,戶量(人/戶),2.75
2014年6月,戶量(人/戶),2.75
2014年7月,戶量(人/戶),2.75
2014年8月,戶量(人/戶),2.74
2014年9月,戶量(人/戶),2.74
2014年10月,戶量(人/戶),2.74
2014年11月,戶量(人/戶),2.74
2014年12月,戶量(人/戶),2.73
2015年1月,戶量(人/戶),2.73
2015年2月,戶量(人/戶),2.73
2015年3月,戶量(人/戶),2.72
2015年4月,戶量(人/戶),2.72
2015年5月,戶量(人/戶),2.72
2015年6月,戶量(人/戶),2.71
2015年7月,戶量(人/戶),2.71
2015年8月,戶量(人/戶),2.71
2015年9月,戶量(人/戶),2.71
2015年10月,戶量(人/戶),2.7
2015年11月,戶量(人/戶),2.7
2015年12月,戶量(人/戶),2.7
2016年1月,戶量(人/戶),2.7
2016年2月,戶量(人/戶),2.7
2016年3月,戶量(人/戶),2.69
2016年4月,戶量(人/戶),2.69
2016年5月,戶量(人/戶),2.69
2016年6月,戶量(人/戶),2.69
2016年7月,戶量(人/戶),2.68
2016年8月,戶量(人/戶),2.68
2016年9月,戶量(人/戶),2.68
2016年10月,戶量(人/戶),2.68
2016年11月,戶量(人/戶),2.68
2016年12月,戶量(人/戶),2.67
2017年1月,戶量(人/戶),2.67
2017年2月,戶量(人/戶),2.67
2017年3月,戶量(人/戶),2.67
2017年4月,戶量(人/戶),2.66
2017年5月,戶量(人/戶),2.66
2017年6月,戶量(人/戶),2.66
2017年7月,戶量(人/戶),2.66
2017年8月,戶量(人/戶),2.65
2017年9月,戶量(人/戶),2.65
2017年10月,戶量(人/戶),2.65
2017年11月,戶量(人/戶),2.65
2017年12月,戶量(人/戶),2.65
2018年1月,戶量(人/戶),2.65
2018年2月,戶量(人/戶),2.65
2018年3月,戶量(人/戶),2.65
2018年4月,戶量(人/戶),2.65
2018年5月,戶量(人/戶),2.65
2018年6月,戶量(人/戶),2.65
2018年7月,戶量(人/戶),2.65
2018年8月,戶量(人/戶),2.65
2018年9月,戶量(人/戶),2.64
2018年10月,戶量(人/戶),2.64
2018年11月,戶量(人/戶),2.64
2018年12月,戶量(人/戶),2.64
2019年1月,戶量(人/戶),2.63
2019年2月,戶量(人/戶),2.63
2019年3月,戶量(人/戶),2.63
2019年4月,戶量(人/戶),2.63
2019年5月,戶量(人/戶),2.62
2019年6月,戶量(人/戶),2.62
2019年7月,戶量(人/戶),2.62
2019年8月,戶量(人/戶),2.61
2019年9月,戶量(人/戶),2.61
2019年10月,戶量(人/戶),2.61
2019年11月,戶量(人/戶),2.61
2019年12月,戶量(人/戶),2.61
2020年1月,戶量(人/戶),2.6
2020年2月,戶量(人/戶),2.6
2020年3月,戶量(人/戶),2.6
2020年4月,戶量(人/戶),2.6
2020年5月,戶量(人/戶),2.59
2020年6月,戶量(人/戶),2.59
2020年7月,戶量(人/戶),2.59
2020年8月,戶量(人/戶),2.58
2020年9月,戶量(人/戶),2.58
2020年10月,戶量(人/戶),2.58
2020年11月,戶量(人/戶),2.58
2020年12月,戶量(人/戶),2.58
2021年1月,戶量(人/戶),2.57
2021年2月,戶量(人/戶),2.57
2021年3月,戶量(人/戶),2.57
2021年4月,戶量(人/戶),2.56
2021年5月,戶量(人/戶),2.56
2021年6月,戶量(人/戶),2.56
2021年7月,戶量(人/戶),2.55
2021年8月,戶量(人/戶),2.55
2021年9月,戶量(人/戶),2.54
2021年10月,戶量(人/戶),2.54
2021年11月,戶量(人/戶),2.54
2021年12月,戶量(人/戶),2.54
2022年1月,戶量(人/戶),2.54
2022年2月,戶量(人/戶),2.54
2022年3月,戶量(人/戶),2.53
2022年4月,戶量(人/戶),2.53
2022年5月,戶量(人/戶),2.53
2022年6月,戶量(人/戶),2.53
2022年7月,戶量(人/戶),2.53
2022年8月,戶量(人/戶),2.53
2022年9月,戶量(人/戶),2.52
2022年10月,戶量(人/戶),2.52
2022年11月,戶量(人/戶),2.52
2022年12月,戶量(人/戶),2.52
2023年1月,戶量(人/戶),2.52
2023年2月,戶量(人/戶),2.52
2023年3月,戶量(人/戶),2.52
2023年4月,戶量(人/戶),2.51
2023年5月,戶量(人/戶),2.51
2023年6月,戶量(人/戶),2.51
2023年7月,戶量(人/戶),2.51
2023年8月,戶量(人/戶),2.51
2023年9月,戶量(人/戶),2.5
2023年10月,戶量(人/戶),2.5
2023年11月,戶量(人/戶),2.5
2023年12月,戶量(人/戶),2.5
2024年1月,戶量(人/戶),2.5
2024年2月,戶量(人/戶),2.49
2024年3月,戶量(人/戶),2.49
2024年4月,戶量(人/戶),2.49
2024年5月,戶量(人/戶),2.48
2024年6月,戶量(人/戶),2.48
2024年7月,戶量(人/戶),2.48
2024年8月,戶量(人/戶),2.48
2024年9月,戶量(人/戶),2.47
2024年10月,戶量(人/戶),2.46
2024年11月,戶量(人/戶),2.45
2024年12月,戶量(人/戶),2.45
2025年1月,戶量(人/戶),2.44
2025年2月,戶量(人/戶),2.43
2025年3月,戶量(人/戶),2.4
