时间,类别,臺東縣
2015年8月,人口數(人),222967.0
2015年9月,人口數(人),222910.0
2015年10月,人口數(人),222708.0
2015年11月,人口數(人),222645.0
2015年12月,人口數(人),222452.0
2016年1月,人口數(人),222244.0
2016年2月,人口數(人),222118.0
2016年3月,人口數(人),221974.0
2016年4月,人口數(人),221817.0
2016年5月,人口數(人),221633.0
2016年6月,人口數(人),221504.0
2016年7月,人口數(人),221408.0
2016年8月,人口數(人),221324.0
2016年9月,人口數(人),221199.0
2016年10月,人口數(人),221098.0
2016年11月,人口數(人),220942.0
2016年12月,人口數(人),220802.0
2017年1月,人口數(人),220712.0
2017年2月,人口數(人),220632.0
2017年3月,人口數(人),220465.0
2017年4月,人口數(人),220244.0
2017年5月,人口數(人),220191.0
2017年6月,人口數(人),220083.0
2017年7月,人口數(人),219974.0
2017年8月,人口數(人),219879.0
2017年9月,人口數(人),219716.0
2017年10月,人口數(人),219686.0
2017年11月,人口數(人),219627.0
2017年12月,人口數(人),219540.0
2018年1月,人口數(人),219467.0
2018年2月,人口數(人),219436.0
2018年3月,人口數(人),219466.0
2018年4月,人口數(人),219628.0
2018年5月,人口數(人),219744.0
2018年6月,人口數(人),219643.0
2018年7月,人口數(人),219584.0
2018年8月,人口數(人),219489.0
2018年9月,人口數(人),219342.0
2018年10月,人口數(人),219268.0
2018年11月,人口數(人),219145.0
2018年12月,人口數(人),218919.0
2019年1月,人口數(人),218691.0
2019年2月,人口數(人),218513.0
2019年3月,人口數(人),218256.0
2019年4月,人口數(人),218119.0
2019年5月,人口數(人),217936.0
2019年6月,人口數(人),217721.0
2019年7月,人口數(人),217540.0
2019年8月,人口數(人),217408.0
2019年9月,人口數(人),217166.0
2019年10月,人口數(人),217074.0
2019年11月,人口數(人),216966.0
2019年12月,人口數(人),216781.0
2020年1月,人口數(人),216633.0
2020年2月,人口數(人),216453.0
2020年3月,人口數(人),216308.0
2020年4月,人口數(人),216164.0
2020年5月,人口數(人),216045.0
2020年6月,人口數(人),215940.0
2020年7月,人口數(人),215768.0
2020年8月,人口數(人),215674.0
2020年9月,人口數(人),215483.0
2020年10月,人口數(人),215468.0
2020年11月,人口數(人),215351.0
2020年12月,人口數(人),215261.0
2021年1月,人口數(人),215113.0
2021年2月,人口數(人),214983.0
2021年3月,人口數(人),214745.0
2021年4月,人口數(人),214599.0
2021年5月,人口數(人),214428.0
2021年6月,人口數(人),214274.0
2021年7月,人口數(人),214132.0
2021年8月,人口數(人),213956.0
2021年9月,人口數(人),213818.0
2021年10月,人口數(人),213718.0
2021年11月,人口數(人),213534.0
2021年12月,人口數(人),213386.0
2022年1月,人口數(人),213296.0
2022年2月,人口數(人),213172.0
2022年3月,人口數(人),213032.0
2022年4月,人口數(人),212959.0
2022年5月,人口數(人),212924.0
2022年6月,人口數(人),212804.0
2022年7月,人口數(人),212891.0
2022年8月,人口數(人),212824.0
2022年9月,人口數(人),212721.0
2022年10月,人口數(人),212712.0
2022年11月,人口數(人),212636.0
2022年12月,人口數(人),212551.0
2023年1月,人口數(人),212511.0
2023年2月,人口數(人),212331.0
2023年3月,人口數(人),212259.0
2023年4月,人口數(人),212196.0
2023年5月,人口數(人),212087.0
2023年6月,人口數(人),212008.0
2023年7月,人口數(人),211933.0
2023年8月,人口數(人),211807.0
2023年9月,人口數(人),211681.0
2023年10月,人口數(人),211613.0
2023年11月,人口數(人),211550.0
2023年12月,人口數(人),211544.0
2024年1月,人口數(人),211357.0
2024年2月,人口數(人),211261.0
2024年3月,人口數(人),211114.0
2024年4月,人口數(人),211021.0
2024年5月,人口數(人),210898.0
2024年6月,人口數(人),210793.0
2024年7月,人口數(人),210673.0
2024年8月,人口數(人),210569.0
2024年9月,人口數(人),210400.0
2024年10月,人口數(人),210281.0
2024年11月,人口數(人),210272.0
2024年12月,人口數(人),210219.0
2025年1月,人口數(人),210122.0
2025年2月,人口數(人),209864.0
2025年3月,人口數(人),209701.0
